Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
17:07:27,1,40,40,40,40,40,40,40,"0,000%","25,00000","128006,52","2,91"
17:07:28,33,1569,1941,3596,3627,3652,16,3652,"0,000%","7,35130","37640,59","0,85"
17:07:29,4,34,34,39,39,39,28,39,"0,000%","5,44959","27903,32","0,63"
17:07:30,3,35,34,40,40,40,33,40,"0,000%","3,33333","17067,53","0,39"
17:07:31,1,38,38,38,38,38,38,38,"0,000%","26,31579","134743,68","3,06"
17:07:32,1,35,35,35,35,35,35,35,"0,000%","28,57143","146293,14","3,32"
17:07:33,1,31,31,31,31,31,31,31,"0,000%","32,25806","165169,67","3,75"
17:07:34,20,22,21,29,38,44,14,44,"0,000%","32,41491","165972,77","3,77"
17:07:35,4,41,34,56,56,56,25,56,"0,000%","5,34759","27381,07","0,62"
17:07:36,3,48,49,51,51,51,45,51,"0,000%","3,26442","16714,67","0,38"
17:07:37,1,55,55,55,55,55,55,55,"0,000%","18,18182","93095,65","2,11"
17:07:38,1,39,39,39,39,39,39,39,"0,000%","25,64103","131288,74","2,98"
17:07:39,1,52,52,52,52,52,52,52,"0,000%","19,23077","98466,55","2,23"
17:07:40,20,25,22,38,40,59,14,59,"0,000%","32,05128","164110,92","3,72"
17:07:41,4,40,38,50,50,50,26,50,"0,000%","5,43478","27827,50","0,63"
17:07:42,3,37,35,42,42,42,34,42,"0,000%","3,29308","16861,45","0,38"
17:07:43,1,45,45,45,45,45,45,45,"0,000%","22,22222","113783,57","2,58"
17:07:44,1,35,35,35,35,35,35,35,"0,000%","28,57143","146293,16","3,32"
17:07:45,1,37,37,37,37,37,37,37,"0,000%","27,02703","138385,43","3,14"
17:07:46,20,23,20,38,41,58,14,58,"0,000%","32,89474","168429,63","3,82"
17:07:47,4,41,45,48,48,48,24,48,"0,000%","5,32623","27271,70","0,62"
17:07:48,3,42,39,49,49,49,38,49,"0,000%","3,28228","16806,11","0,38"
17:07:49,1,39,39,39,39,39,39,39,"0,000%","25,64103","131288,74","2,98"
17:07:50,1,41,41,41,41,41,41,41,"0,000%","24,39024","124884,41","2,83"
17:07:51,1,50,50,50,50,50,50,50,"0,000%","20,00000","102405,21","2,32"
17:07:52,20,21,19,33,34,38,12,38,"0,000%","33,05785","169264,82","3,84"
17:07:53,4,41,38,50,50,50,27,50,"0,000%","5,41272","27714,54","0,63"
17:07:54,3,35,35,37,37,37,34,37,"0,000%","3,32963","17048,59","0,39"
17:07:55,1,38,38,38,38,38,38,38,"0,000%","26,31579","134743,70","3,06"
17:07:56,1,35,35,35,35,35,35,35,"0,000%","28,57143","146293,16","3,32"
17:07:57,16,130,122,202,222,240,41,240,"0,000%","15,09434","77286,95","1,75"
TOTAL,179,322,34,1066,2896,3627,12,3652,"0,000%","5,94053","30417,05","0,69"
