Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
,92,0,0,0,0,0,0,0,"100,000%","7,35588","6,19","0,00"
20:11:22,6,23,20,25,37,37,18,37,"0,000%","32,08556","164286,44","3,73"
20:11:23,29,1105,45,2960,3033,3080,14,3080,"0,000%","7,95610","40737,33","0,92"
20:11:24,4,44,41,59,59,59,28,59,"0,000%","5,40541","27677,08","0,63"
20:11:25,5,58,57,73,75,75,29,75,"0,000%","6,44330","32991,36","0,75"
20:11:26,4,66,65,87,87,87,47,87,"0,000%","7,28597","37306,08","0,85"
20:11:27,2,46,36,56,56,56,36,56,"0,000%","20,20202","103439,59","2,35"
20:11:29,15,25,18,38,52,62,14,62,"0,000%","24,63054","126114,78","2,86"
20:11:30,4,63,67,71,71,71,48,71,"0,000%","5,18807","26564,26","0,60"
20:11:31,5,73,74,87,91,91,48,91,"0,000%","6,31313","32324,88","0,73"
20:11:32,4,63,65,79,79,79,34,79,"0,000%","7,60456","38937,34","0,88"
20:11:33,2,50,35,66,66,66,35,66,"0,000%","20,20202","103439,61","2,35"
20:11:35,15,29,20,41,50,86,16,86,"0,000%","24,91694","127581,25","2,90"
20:11:36,4,59,56,68,68,68,56,68,"0,000%","5,17464","26495,53","0,60"
20:11:37,5,69,71,82,93,93,49,93,"0,000%","6,29723","32243,46","0,73"
20:11:38,2,24,23,25,25,25,23,25,"100,000%","80,00000","141,48","0,00"
TOTAL,198,179,16,79,2073,2997,0,3080,"47,475%","6,30734","16965,73","0,39"
