Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
22:07:13 ,3,1,1,2,2,2,1,2,"0,000%","5,91716","7,42","0,69"
22:07:14 ,5,9,1,2,43,43,1,43,"0,000%","6,24220","6398,60","0,73"
22:07:15 ,4,24,24,36,36,36,9,36,"0,000%","7,38007","29263,91","0,86"
22:07:16 ,4,14,10,23,23,23,3,23,"0,000%","7,93651","22303,65","0,92"
22:07:17 ,4,2,2,4,4,4,1,4,"0,000%","7,87402","1974,46","0,92"
22:07:18 ,4,18,1,42,42,42,1,42,"0,000%","6,41026","16415,11","0,74"
22:07:19 ,6,18,21,26,27,27,4,27,"0,000%","6,64452","23789,10","0,77"
22:07:20 ,4,6,6,7,7,7,6,7,"0,000%","6,57895","2470,44","0,76"
22:07:21 ,4,25,2,88,88,88,1,88,"0,000%","5,06329","7117,76","0,59"
22:07:22 ,5,14,8,13,50,50,0,50,"0,000%","8,15661","9989,05","0,95"
22:07:23 ,5,19,12,32,42,42,1,42,"0,000%","6,80272","15295,63","0,79"
22:07:24 ,4,21,9,60,60,60,7,60,"0,000%","7,88955","13059,24","0,92"
22:07:25 ,4,9,5,28,28,28,0,28,"0,000%","8,08081","12367,74","0,94"
22:07:26 ,3,15,11,30,30,30,6,30,"0,000%","5,63910","11505,22","0,66"
22:07:27 ,6,11,4,14,36,36,1,36,"0,000%","9,78793","10805,13","1,14"
22:07:28 ,3,27,23,52,52,52,8,52,"0,000%","3,14136","6409,19","0,37"
22:07:29 ,3,1,1,2,2,2,1,2,"0,000%","5,98802","7,51","0,70"
22:07:30 ,2,12,10,15,15,15,10,15,"0,000%","3,88350","1942,75","0,45"
22:07:31 ,2,21,9,34,34,34,9,34,"0,000%","5,93472","16678,10","0,69"
22:07:32 ,3,33,35,42,42,42,24,42,"0,000%","12,29508","62954,03","1,43"
22:07:33 ,3,37,41,64,64,64,7,64,"0,000%","11,36364","40684,77","1,32"
22:07:34 ,1,53,53,53,53,53,53,53,"0,000%","18,86792","96608,69","2,19"
22:07:35 ,3,20,9,47,47,47,5,47,"0,000%","9,70874","19808,34","1,13"
22:07:36 ,1,1,1,1,1,1,1,1,"0,000%","1000,00000","1254,88","116,21"
22:07:37 ,3,20,22,39,39,39,1,39,"0,000%","3,31492","6211,91","0,39"
22:07:38 ,4,19,23,28,28,28,1,28,"0,000%","7,61905","29261,02","0,89"
22:07:39 ,2,1,1,2,2,2,1,2,"0,000%","2,82486","3,54","0,33"
22:07:40 ,3,39,40,41,41,41,37,41,"0,000%","3,18471","16306,56","0,37"
22:07:41 ,3,33,46,50,50,50,3,50,"0,000%","5,52486","18861,47","0,64"
22:07:42 ,2,28,1,56,56,56,1,56,"0,000%","4,02414","10304,86","0,47"
22:07:43 ,2,47,42,53,53,53,42,53,"0,000%","5,79710","29682,67","0,67"
22:07:44 ,3,34,46,50,50,50,6,50,"0,000%","12,14575","43484,94","1,41"
22:07:45 ,3,7,4,16,16,16,1,16,"0,000%","13,95349","2338,46","1,62"
22:07:46 ,1,2,2,2,2,2,2,2,"0,000%","500,00000","627,44","58,11"
22:07:47 ,3,9,2,24,24,24,1,24,"0,000%","9,80392","16741,08","1,14"
22:07:48 ,1,51,51,51,51,51,51,51,"0,000%","19,60784","100397,27","2,28"
22:07:49 ,3,8,8,13,13,13,3,13,"0,000%","3,28228","1096,03","0,38"
22:07:50 ,4,16,1,59,59,59,1,59,"0,000%","7,95229","11178,98","0,92"
22:07:51 ,2,29,7,51,51,51,7,51,"0,000%","2,65252","7454,27","0,31"
22:07:52 ,3,16,2,46,46,46,1,46,"0,000%","3,16456","5403,77","0,37"
22:07:53 ,3,36,44,46,46,46,20,46,"0,000%","5,53506","19816,94","0,64"
22:07:54 ,2,27,8,46,46,46,8,46,"0,000%","3,94477","11085,84","0,46"
22:07:55 ,2,6,2,11,11,11,2,11,"0,000%","6,41026","1607,42","0,74"
22:07:56 ,3,15,15,29,29,29,1,29,"0,000%","13,15789","24656,91","1,53"
22:07:57 ,3,1,1,1,1,1,1,1,"0,000%","15,00000","18,82","1,74"
22:07:58 ,1,13,13,13,13,13,13,13,"0,000%","76,92308","38481,45","8,94"
22:07:59 ,3,33,39,47,47,47,15,47,"0,000%","8,62069","30864,31","1,00"
22:08:00 ,1,14,14,14,14,14,14,14,"0,000%","71,42857","35732,77","8,30"
22:08:01 ,3,1,1,2,2,2,1,2,"0,000%","3,32594","4,17","0,39"
22:08:02 ,4,5,2,15,15,15,1,15,"0,000%","7,76699","978,69","0,90"
22:08:03 ,2,8,2,15,15,15,2,15,"0,000%","2,82486","708,35","0,33"
22:08:04 ,3,49,58,82,82,82,9,82,"0,000%","3,05188","10926,53","0,35"
22:08:05 ,3,6,6,8,8,8,4,8,"0,000%","5,89391","2948,48","0,68"
22:08:06 ,2,24,14,35,35,35,14,35,"0,000%","3,90625","10977,58","0,45"
22:08:07 ,2,22,8,37,37,37,8,37,"0,000%","5,91716","16628,76","0,69"
22:08:08 ,3,23,31,38,38,38,1,38,"0,000%","12,50000","42674,07","1,45"
22:08:09 ,3,5,6,9,9,9,2,9,"0,000%","14,49275","4839,48","1,68"
22:08:10 ,1,51,51,51,51,51,51,51,"0,000%","19,60784","100397,27","2,28"
22:08:11 ,3,38,45,46,46,46,24,46,"0,000%","8,67052","44395,32","1,01"
22:08:12 ,1,48,48,48,48,48,48,48,"0,000%","20,83333","106672,10","2,42"
22:08:13 ,3,40,38,51,51,51,31,51,"0,000%","3,18471","11402,10","0,37"
22:08:14 ,4,2,1,4,4,4,1,4,"0,000%","7,93651","1000,05","0,92"
22:08:15 ,2,6,2,10,10,10,2,10,"0,000%","2,82885","709,35","0,33"
22:08:16 ,3,18,24,26,26,26,4,26,"0,000%","3,23276","11574,12","0,38"
22:08:17 ,3,41,59,63,63,63,2,63,"0,000%","6,00000","20483,55","0,70"
22:08:18 ,2,18,1,35,35,35,1,35,"0,000%","3,98406","10202,22","0,46"
22:08:19 ,2,2,2,2,2,2,2,2,"0,000%","6,62252","8,31","0,77"
22:08:20 ,3,22,14,50,50,50,2,50,"0,000%","11,90476","22308,63","1,38"
22:08:21 ,3,3,2,7,7,7,1,7,"0,000%","14,85149","2488,95","1,73"
22:08:22 ,1,38,38,38,38,38,38,38,"0,000%","26,31579","134743,70","3,06"
22:08:23 ,3,8,12,14,14,14,0,14,"0,000%","9,40439","3140,35","1,09"
22:08:24 ,1,2,2,2,2,2,2,2,"0,000%","500,00000","627,44","58,11"
22:08:25 ,3,50,68,74,74,74,10,74,"0,000%","3,30761","11842,10","0,38"
22:08:26 ,4,29,4,62,62,62,4,62,"0,000%","7,11744","20001,85","0,83"
22:08:27 ,2,11,8,14,14,14,8,14,"0,000%","2,78940","1395,42","0,32"
22:08:28 ,3,1,2,2,2,2,1,2,"0,000%","3,32594","4,17","0,39"
22:08:29 ,3,53,58,62,62,62,40,62,"0,000%","5,56586","28498,67","0,65"
22:08:30 ,2,21,2,40,40,40,2,40,"0,000%","3,74532","9590,85","0,44"
22:08:31 ,2,23,16,31,31,31,16,31,"0,000%","6,02410","16929,28","0,70"
22:08:32 ,3,23,22,38,38,38,11,38,"0,000%","13,51351","48381,89","1,57"
22:08:33 ,3,27,39,43,43,43,1,43,"0,000%","12,24490","41803,17","1,42"
22:08:34 ,1,7,7,7,7,7,7,7,"0,000%","142,85714","71465,54","16,60"
22:08:35 ,3,17,13,37,37,37,2,37,"0,000%","9,93377","18615,15","1,15"
22:08:36 ,1,28,28,28,28,28,28,28,"0,000%","35,71429","182866,46","4,15"
22:08:37 ,3,12,1,35,35,35,1,35,"0,000%","3,20856","5478,90","0,37"
22:08:38 ,4,15,7,47,47,47,1,47,"0,000%","7,88955","12075,02","0,92"
22:08:39 ,2,20,1,40,40,40,1,40,"0,000%","2,82486","7233,78","0,33"
22:08:40 ,3,14,8,35,35,35,1,35,"0,000%","3,30033","6184,57","0,38"
22:08:41 ,3,6,9,9,9,9,2,9,"0,000%","5,92885","1979,79","0,69"
22:08:42 ,2,3,2,4,4,4,2,4,"0,000%","4,00000","1003,03","0,46"
22:08:43 ,2,5,2,8,8,8,2,8,"0,000%","6,66667","1671,71","0,77"
22:08:44 ,3,24,26,42,42,42,5,42,"0,000%","14,92537","53436,72","1,73"
22:08:45 ,3,3,4,5,5,5,1,5,"0,000%","14,77833","4934,84","1,72"
22:08:46 ,1,2,2,2,2,2,2,2,"0,000%","500,00000","627,44","58,11"
22:08:47 ,3,14,9,25,25,25,8,25,"0,000%","9,17431","18717,98","1,07"
22:08:48 ,1,2,2,2,2,2,2,2,"0,000%","500,00000","627,44","58,11"
22:08:49 ,3,23,21,45,45,45,4,45,"0,000%","3,31492","6763,29","0,39"
22:08:50 ,4,16,14,35,35,35,1,35,"0,000%","7,51880","11507,58","0,87"
22:08:51 ,2,1,1,2,2,2,1,2,"0,000%","2,82885","3,55","0,33"
22:08:52 ,3,9,12,14,14,14,2,14,"0,000%","3,29308","1099,64","0,38"
22:08:53 ,3,4,1,10,10,10,1,10,"0,000%","6,03622","1011,61","0,70"
22:08:54 ,2,22,7,37,37,37,7,37,"0,000%","3,72439","10466,52","0,43"
22:08:55 ,2,26,11,41,41,41,11,41,"0,000%","5,81395","16338,72","0,68"
22:08:56 ,3,21,16,38,38,38,9,38,"0,000%","13,95349","28468,74","1,62"
22:08:57 ,3,53,52,59,59,59,49,59,"0,000%","11,90476","60955,49","1,38"
22:08:58 ,1,23,23,23,23,23,23,23,"0,000%","43,47826","222620,03","5,05"
22:08:59 ,3,11,8,23,23,23,4,23,"0,000%","9,58466","19555,20","1,11"
22:09:00 ,1,14,14,14,14,14,14,14,"0,000%","71,42857","35732,77","8,30"
22:09:01 ,3,14,2,39,39,39,2,39,"0,000%","3,31492","5660,52","0,39"
22:09:02 ,4,42,25,74,74,74,8,74,"0,000%","7,05467","27973,62","0,82"
22:09:03 ,2,4,1,8,8,8,1,8,"0,000%","2,78940","699,46","0,32"
22:09:04 ,3,27,20,48,48,48,13,48,"0,000%","3,26797","6667,51","0,38"
22:09:05 ,3,29,41,46,46,46,1,46,"0,000%","5,56586","19001,44","0,65"
22:09:06 ,2,5,1,10,10,10,1,10,"0,000%","3,96040","993,10","0,46"
22:09:07 ,2,7,1,13,13,13,1,13,"0,000%","6,73401","1688,60","0,78"
22:09:08 ,3,3,2,8,8,8,1,8,"0,000%","14,92537","2501,34","1,73"
22:09:09 ,3,34,48,52,52,52,2,52,"0,000%","12,19512","41633,24","1,42"
22:09:10 ,1,36,36,36,36,36,36,36,"0,000%","27,77778","142229,47","3,23"
22:09:11 ,3,23,14,48,48,48,9,48,"0,000%","8,59599","17538,05","1,00"
22:09:12 ,1,8,8,8,8,8,8,8,"0,000%","125,00000","62532,35","14,53"
22:09:13 ,3,12,11,22,22,22,5,22,"0,000%","3,27154","6674,79","0,38"
22:09:14 ,4,15,2,42,42,42,2,42,"0,000%","7,78210","10939,75","0,90"
22:09:15 ,2,8,2,15,15,15,2,15,"0,000%","2,82486","708,35","0,33"
22:09:16 ,3,17,10,37,37,37,5,37,"0,000%","3,30396","6191,38","0,38"
22:09:17 ,3,13,11,28,28,28,1,28,"0,000%","5,92885","11110,23","0,69"
22:09:18 ,2,12,1,23,23,23,1,23,"0,000%","3,83142","9811,33","0,45"
22:09:19 ,2,2,2,2,2,2,2,2,"0,000%","6,64452","8,34","0,77"
22:09:20 ,3,11,2,30,30,30,1,30,"0,000%","14,77833","25235,32","1,72"
22:09:21 ,3,1,1,4,4,4,0,4,"0,000%","14,85149","2488,95","1,73"
22:09:22 ,1,1,1,1,1,1,1,1,"0,000%","1000,00000","1254,88","116,21"
22:09:23 ,3,16,13,34,34,34,1,34,"0,000%","8,95522","16781,42","1,04"
22:09:24 ,1,12,12,12,12,12,12,12,"0,000%","83,33333","41688,23","9,68"
22:09:25 ,3,9,2,25,25,25,1,25,"0,000%","3,23974","5532,15","0,38"
22:09:26 ,4,4,1,10,10,10,1,10,"0,000%","7,85855","1970,58","0,91"
22:09:27 ,2,40,35,45,45,45,35,45,"0,000%","2,69542","13801,24","0,31"
22:09:28 ,3,25,28,38,38,38,10,38,"0,000%","3,23625","11586,60","0,38"
22:09:29 ,3,56,65,68,68,68,36,68,"0,000%","5,63910","28873,65","0,66"
22:09:30 ,2,7,1,13,13,13,1,13,"0,000%","4,01606","1007,06","0,47"
22:09:31 ,2,21,8,35,35,35,8,35,"0,000%","5,98802","16827,90","0,70"
22:09:32 ,3,18,14,41,41,41,1,41,"0,000%","12,24490","22946,02","1,42"
22:09:33 ,3,14,1,41,41,41,0,41,"0,000%","12,29508","20994,96","1,43"
22:09:34 ,1,0,0,0,0,0,0,0,"0,000%",∞,"0,00","0,00"
22:09:35 ,3,11,4,29,29,29,1,29,"0,000%","9,93377","18615,15","1,15"
22:09:36 ,1,1,1,1,1,1,1,1,"0,000%","1000,00000","1254,88","116,21"
22:09:37 ,3,42,53,60,60,60,13,60,"0,000%","3,27154","11712,96","0,38"
22:09:38 ,4,30,9,62,62,62,5,62,"0,000%","7,15564","20109,19","0,83"
22:09:39 ,2,8,6,10,10,10,6,10,"0,000%","2,79720","1399,33","0,33"
22:09:40 ,3,17,4,48,48,48,1,48,"0,000%","3,16456","5403,77","0,37"
22:09:41 ,3,18,17,36,36,36,1,36,"0,000%","5,67108","10627,17","0,66"
22:09:42 ,2,3,2,5,5,5,2,5,"0,000%","3,97614","997,05","0,46"
22:09:43 ,2,22,2,43,43,43,2,43,"0,000%","5,86510","15019,11","0,68"
22:09:44 ,3,4,3,9,9,9,1,9,"0,000%","14,92537","4983,94","1,73"
22:09:45 ,3,17,14,35,35,35,2,35,"0,000%","13,95349","26147,79","1,62"
22:09:46 ,1,7,7,7,7,7,7,7,"0,000%","142,85714","71465,54","16,60"
22:09:47 ,3,26,34,44,44,44,1,44,"0,000%","9,06344","30941,92","1,05"
22:09:48 ,1,8,8,8,8,8,8,8,"0,000%","125,00000","62532,35","14,53"
22:09:49 ,3,14,11,30,30,30,1,30,"0,000%","3,21888","6031,95","0,37"
22:09:50 ,4,26,17,40,40,40,12,40,"0,000%","7,40741","20816,74","0,86"
22:09:51 ,2,18,4,33,33,33,4,33,"0,000%","2,71370","7626,21","0,32"
22:09:52 ,3,21,26,37,37,37,1,37,"0,000%","3,19149","10895,51","0,37"
22:09:53 ,3,1,1,2,2,2,1,2,"0,000%","6,03622","7,57","0,70"
22:09:54 ,2,21,1,41,41,41,1,41,"0,000%","3,71058","9501,88","0,43"
22:09:55 ,2,21,1,41,41,41,1,41,"0,000%","6,60066","16902,69","0,77"
22:09:56 ,3,19,13,45,45,45,1,45,"0,000%","12,44813","23326,86","1,45"
22:09:57 ,3,31,22,51,51,51,22,51,"0,000%","12,00000","42963,12","1,39"
22:09:58 ,1,10,10,10,10,10,10,10,"0,000%","100,00000","50025,88","11,62"
22:09:59 ,3,1,2,2,2,2,1,2,"0,000%","10,00000","12,55","1,16"
22:10:00 ,1,1,1,1,1,1,1,1,"0,000%","1000,00000","1254,88","116,21"
22:10:01 ,3,27,16,55,55,55,12,55,"0,000%","3,26797","6667,51","0,38"
22:10:02 ,4,36,14,74,74,74,2,74,"0,000%","6,94444","18649,37","0,81"
22:10:03 ,2,42,24,61,61,61,24,61,"0,000%","2,72851","13970,70","0,32"
22:10:04 ,3,20,27,32,32,32,3,32,"0,000%","3,21888","10989,03","0,37"
22:10:05 ,3,4,1,10,10,10,1,10,"0,000%","5,90551","989,70","0,69"
22:10:06 ,2,37,2,72,72,72,2,72,"0,000%","3,96040","10141,62","0,46"
TOTAL,463,18,10,48,56,72,0,88,"0,000%","2,66840","5299,74","0,31"
