Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
15:10:11,45,1050,13,4140,"1403,28","0,000%",",74847","3832,34","0,09","5243146,8"
15:10:12,9,1838,44,4114,"1996,28","0,000%","2,18235","11174,19","0,25","5243146,4"
15:10:13,2,44,35,54,"9,50","0,000%","7,01754","35931,65","0,82","5243146,0"
15:10:14,1,48,48,48,"0,00","0,000%","20,83333","106672,08","2,42","5243146,0"
15:10:15,1,60,60,60,"0,00","0,000%","16,66667","85337,66","1,94","5243146,0"
15:10:16,1,26,26,26,"0,00","0,000%","38,46154","196933,07","4,47","5243146,0"
15:10:17,17,28,11,88,"20,85","0,000%","23,87640","122253,40","2,77","5243146,1"
15:10:18,8,38,13,66,"22,57","0,000%","7,67754","39311,02","0,89","5243146,5"
15:10:19,2,68,68,69,"0,50","0,000%","6,64452","34021,67","0,77","5243147,0"
15:10:20,1,73,73,73,"0,00","0,000%","13,69863","70140,56","1,59","5243147,0"
15:10:21,1,73,73,73,"0,00","0,000%","13,69863","70140,56","1,59","5243147,0"
15:10:22,1,73,73,73,"0,00","0,000%","13,69863","70140,56","1,59","5243147,0"
15:10:23,17,26,15,67,"16,78","0,000%","23,80952","121910,97","2,77","5243147,0"
15:10:24,8,36,13,64,"20,63","0,000%","7,73694","39615,17","0,90","5243147,0"
15:10:25,2,56,55,57,"1,00","0,000%","6,89655","35312,14","0,80","5243147,0"
15:10:26,1,57,57,57,"0,00","0,000%","17,54386","89829,14","2,04","5243147,0"
15:10:27,1,65,65,65,"0,00","0,000%","15,38462","78773,24","1,79","5243147,0"
15:10:28,1,57,57,57,"0,00","0,000%","17,54386","89829,14","2,04","5243147,0"
15:10:29,17,29,13,83,"19,58","0,000%","23,70990","121400,88","2,76","5243147,0"
15:10:30,8,36,15,67,"19,65","0,000%","7,66284","39235,71","0,89","5243147,0"
15:10:31,2,67,65,69,"2,00","0,000%","6,82594","34950,59","0,79","5243147,0"
15:10:32,1,68,68,68,"0,00","0,000%","14,70588","75297,95","1,71","5243147,0"
15:10:33,1,63,63,63,"0,00","0,000%","15,87302","81273,98","1,84","5243147,0"
15:10:34,1,70,70,70,"0,00","0,000%","14,28571","73146,58","1,66","5243147,0"
15:10:35,17,28,12,81,"18,65","0,000%","23,87640","122253,42","2,77","5243147,0"
15:10:36,8,41,13,73,"24,59","0,000%","7,65550","39198,17","0,89","5243147,0"
15:10:37,2,66,66,67,"0,50","0,000%","6,75676","34596,36","0,79","5243147,0"
15:10:38,1,69,69,69,"0,00","0,000%","14,49275","74206,68","1,68","5243147,0"
15:10:39,1,56,56,56,"0,00","0,000%","17,85714","91433,23","2,08","5243147,0"
15:10:40,1,72,72,72,"0,00","0,000%","13,88889","71114,73","1,61","5243147,0"
15:10:41,17,28,14,65,"17,90","0,000%","23,67688","121231,80","2,75","5243147,0"
15:10:42,8,37,13,68,"20,62","0,000%","7,70713","39462,51","0,90","5243147,0"
15:10:43,2,67,67,67,"0,00","0,000%","6,66667","34135,07","0,77","5243147,0"
15:10:44,1,58,58,58,"0,00","0,000%","17,24138","88280,36","2,00","5243147,0"
15:10:45,1,58,58,58,"0,00","0,000%","17,24138","88280,36","2,00","5243147,0"
15:10:46,1,69,69,69,"0,00","0,000%","14,49275","74206,68","1,68","5243147,0"
15:10:47,17,32,11,85,"22,38","0,000%","23,74302","121570,44","2,76","5243147,0"
15:10:48,8,36,19,65,"17,98","0,000%","7,74443","39653,52","0,90","5243147,0"
15:10:49,2,58,52,65,"6,50","0,000%","6,73401","34479,87","0,78","5243147,0"
15:10:50,1,68,68,68,"0,00","0,000%","14,70588","75297,95","1,71","5243147,0"
15:10:51,1,50,50,50,"0,00","0,000%","20,00000","102405,21","2,32","5243147,0"
15:10:52,1,48,48,48,"0,00","0,000%","20,83333","106672,10","2,42","5243147,0"
15:10:53,17,33,14,85,"22,91","0,000%","23,74302","121570,44","2,76","5243147,0"
15:10:54,8,39,15,68,"22,75","0,000%","7,69971","39424,53","0,89","5243147,0"
15:10:55,2,62,62,63,"0,50","0,000%","6,89655","35312,14","0,80","5243147,0"
15:10:56,1,66,66,66,"0,00","0,000%","15,15152","77579,71","1,76","5243147,0"
15:10:57,1,62,62,62,"0,00","0,000%","16,12903","82584,85","1,87","5243147,0"
15:10:58,1,62,62,62,"0,00","0,000%","16,12903","82584,85","1,87","5243147,0"
15:10:59,17,27,12,69,"18,10","0,000%","23,90999","122425,36","2,78","5243147,0"
15:10:00,8,38,15,71,"23,21","0,000%","7,71456","39500,57","0,90","5243147,0"
15:10:01,2,69,67,72,"2,50","0,000%","6,68896","34249,24","0,78","5243147,0"
15:10:02,1,64,64,64,"0,00","0,000%","15,62500","80004,07","1,82","5243147,0"
15:10:03,1,66,66,66,"0,00","0,000%","15,15152","77579,71","1,76","5243147,0"
15:10:04,1,70,70,70,"0,00","0,000%","14,28571","73146,58","1,66","5243147,0"
15:10:05,17,29,12,94,"23,41","0,000%","24,07932","123292,40","2,80","5243147,0"
15:10:06,8,38,13,71,"21,80","0,000%","7,70713","39462,51","0,90","5243147,0"
15:10:07,2,58,47,70,"11,50","0,000%","7,29927","37374,17","0,85","5243147,0"
15:10:08,1,56,56,56,"0,00","0,000%","17,85714","91433,23","2,08","5243147,0"
15:10:09,1,60,60,60,"0,00","0,000%","16,66667","85337,68","1,94","5243147,0"
15:10:10,1,66,66,66,"0,00","0,000%","15,15152","77579,71","1,76","5243147,0"
TOTAL,329,225,11,4140,"756,64","0,000%","5,47212","28018,66","0,64","5243146,9"
